Xd;Yd;Xu;Yu
1977.7823;109.8353;78.0000;26.0000
2005.7238;110.8216;79.0000;26.0000
2033.2026;111.8225;80.0000;26.0000
2060.6071;112.9448;81.0000;26.0000
2088.0161;114.1184;82.0000;26.0000
2114.9762;115.3333;83.0000;26.0000
2142.1198;116.4996;84.0000;26.0000
2168.9043;117.8285;85.0000;26.0000
2195.6057;119.0900;86.0000;26.0000
2222.0322;120.4411;87.0000;26.0000
256.8296;166.4887;19.0000;27.0000
284.7803;164.5840;20.0000;27.0000
313.0618;162.8668;21.0000;27.0000
341.1852;161.1644;22.0000;27.0000
369.5170;159.4866;23.0000;27.0000
397.9256;157.8104;24.0000;27.0000
426.5452;156.3526;25.0000;27.0000
455.2308;154.9269;26.0000;27.0000
483.8683;153.4477;27.0000;27.0000
513.0481;151.8671;28.0000;27.0000
541.6346;150.4380;29.0000;27.0000
571.2481;149.1727;30.0000;27.0000
599.7712;147.6986;31.0000;27.0000
629.4416;146.2188;32.0000;27.0000
658.6397;144.9268;33.0000;27.0000
687.6513;143.5919;34.0000;27.0000
717.4119;142.3243;35.0000;27.0000
746.9782;141.0981;36.0000;27.0000
776.1944;139.8850;37.0000;27.0000
805.8123;138.7454;38.0000;27.0000
835.5368;137.7437;39.0000;27.0000
865.3496;136.7888;40.0000;27.0000
895.1087;135.9372;41.0000;27.0000
924.7517;135.1465;42.0000;27.0000
954.5110;134.4451;43.0000;27.0000
984.3592;133.8365;44.0000;27.0000
1014.1987;133.1983;45.0000;27.0000
1044.0910;132.3715;46.0000;27.0000
1073.8941;131.6057;47.0000;27.0000
1103.7240;131.1213;48.0000;27.0000
1133.6350;130.7707;49.0000;27.0000
1163.4798;130.2682;50.0000;27.0000
1193.3821;129.7444;51.0000;27.0000
1223.0216;129.4685;52.0000;27.0000
1253.1199;129.3354;53.0000;27.0000
1282.7468;129.1851;54.0000;27.0000
1312.7401;128.9722;55.0000;27.0000
1342.4153;128.7879;56.0000;27.0000
1372.0025;128.7081;57.0000;27.0000
1401.9580;128.7154;58.0000;27.0000
1431.2759;128.8115;59.0000;27.0000
1460.6883;128.9726;60.0000;27.0000
1490.4178;129.1319;61.0000;27.0000
1520.0621;129.2968;62.0000;27.0000
1549.3770;129.4177;63.0000;27.0000
1578.4959;129.4470;64.0000;27.0000
1607.6585;129.5332;65.0000;27.0000
1636.7556;129.8194;66.0000;27.0000
1665.8288;130.4205;67.0000;27.0000
1694.6455;131.0731;68.0000;27.0000
1723.7498;131.4311;69.0000;27.0000
1752.4998;131.7775;70.0000;27.0000
1781.4747;132.4477;71.0000;27.0000
1810.2916;133.2946;72.0000;27.0000
